sciname,comname,iucn_sid,cat_code
Vexillum exasperatum,NA,NA,NE
Terebra affinis,NA,NA,NE
Acanthosquilla multifasciata,NA,NA,NE
Cloridina chlorida,NA,NA,NE
Harpiosquilla annandalei,NA,NA,NE
Quollastria subtilis,NA,NA,NE
Phyllodoce madeirensis,NA,NA,NE
Chama asperella,NA,NA,NE
Macoma candida,NA,NA,NE
Gari maculosa,NA,NA,NE
Clementia papyracea,NA,NA,NE
Cryptopecten bullatus,NA,NA,NE
Propeamussium sibogai,NA,NA,NE
Actaeodes hirsutissimus,NA,NA,NE
Heliacus variegatus,NA,NA,NE
Rhinoclavis kochi,NA,NA,NE
Nerita chamaeleon,NA,NA,NE
Chicoreus microphyllus,NA,NA,NE
Hipponix conicus,NA,NA,NE
Dardanus scutellatus,NA,NA,NE
Palmadusta asellus,NA,NA,NE
Stelletta clavosa,NA,NA,NE
Thalamita danae,NA,NA,NE
Pneophyllum fragile,NA,NA,NE
Bornetella sphaerica,NA,NA,NE
Udotea argentea,NA,NA,NE
Halimeda minima,NA,NA,NE
Ganonema farinosum,NA,NA,NE
Valonia utricularis,NA,NA,NE
Caulerpa peltata,NA,NA,NE
Champia parvula,NA,NA,NE
Halimeda incrassata,NA,NA,NE
Caulerpa lentillifera,NA,NA,NE
Caulerpa mexicana,NA,NA,NE
Gibsmithia hawaiiensis,NA,NA,NE
Hypnea valentiae,NA,NA,NE
Thalamita prymna,NA,NA,NE
Parapontocaris levigata,NA,NA,NE
Calcinus minutus,NA,NA,NE
Clibanarius corallinus,NA,NA,NE
Spheciospongia vagabunda,NA,NA,NE
Spiropagurus spiriger,NA,NA,NE
Astrosclera willeyana,NA,NA,NE
Echinodictyum mesenterinum,NA,NA,NE
Iotrochota baculifera,NA,NA,NE
Arcania gracilis,NA,NA,NE
Fromia milleporella,NA,NA,NE
Petrolisthes lamarckii,NA,NA,NE
Raphidopus ciliatus,NA,NA,NE
Myra tumidospina,NA,NA,NE
Dolomena dilatata,NA,NA,NE
Lovenia elongata,NA,NA,NE
Leptograpsus variegatus,NA,NA,NE
Coscinoderma matthewsi,NA,NA,NE
Cinachyrella schulzei,NA,NA,NE
Pipestela candelabra,NA,NA,NE
Lamellodysidea herbacea,NA,NA,NE
Temnopleurus toreumaticus,NA,NA,NE
Lamprometra palmata,NA,NA,NE
Fascaplysinopsis reticulata,NA,NA,NE
Fibularia ovulum,NA,NA,NE
Pythia scarabaeus,NA,NA,NE
Nerita fulgurans,NA,NA,NE
Nassarius papillosus,NA,NA,NE
Cymatium nicobaricum,NA,NA,NE
Casmaria ponderosa,NA,NA,NE
Turritriton labiosus,NA,NA,NE
Charonia tritonis,NA,NA,NE
Clio recurva,NA,NA,NE
Creseis acicula,NA,NA,NE
Hyalocylis striata,NA,NA,NE
Rictaxis punctocaelatus,NA,NA,NE
Hermissenda crassicornis,NA,NA,NE
Ampithoe ramondi,NA,NA,NE
Hapalocarcinus marsupialis,NA,NA,NE
Hymenopenaeus propinquus,NA,NA,NE
Gennadas incertus,NA,NA,NE
Fenneropenaeus indicus,NA,NA,NE
Melicertus marginatus,NA,NA,NE
Metapenaeopsis gallensis,NA,NA,NE
Metapenaeopsis velutina,NA,NA,NE
Scyllarus batei,NA,NA,NE
Axiopsis serratifrons,NA,NA,NE
Pontoniopsis comanthi,NA,NA,NE
Thaumastocaris streptopus,NA,NA,NE
Domecia hispida,NA,NA,NE
Anchistus custos,NA,NA,NE
Anchistus miersi,NA,NA,NE
Coralliocaris graminea,NA,NA,NE
Jocaste japonica,NA,NA,NE
Jocaste lucina,NA,NA,NE
Periclimenes commensalis,NA,NA,NE
Periclimenes imperator,NA,NA,NE
Periclimenes incertus,NA,NA,NE
Periclimenes inornatus,NA,NA,NE
Oncinopus araneus,NA,NA,NE
Galathea spinosorostris,NA,NA,NE
Pseudozius caystrus,NA,NA,NE
Heterogenys microphthalma,NA,NA,NE
Alpheus bucephalus,NA,NA,NE
Alpheus gracilis,NA,NA,NE
Alpheus paralcyone,NA,NA,NE
Metalpheus paragracilis,NA,NA,NE
Synalpheus charon,NA,NA,NE
Calcinus guamensis,NA,NA,NE
Calcinus haigae,NA,NA,NE
Dardanus gemmatus,NA,NA,NE
Dardanus pedunculatus,NA,NA,NE
Nematopagurus spinulosensoris,NA,NA,NE
Strobopagurus gracilipes,NA,NA,NE
Sympagurus affinis,NA,NA,NE
Agononida incerta,NA,NA,NE
Dynomene pilumnoides,NA,NA,NE
Homola orientalis,NA,NA,NE
Latreillia metanesa,NA,NA,NE
Calappa calappa,NA,NA,NE
Aulacolambrus hoplonotus,NA,NA,NE
Thalamita integra,NA,NA,NE
Thalamitoides quadridens,NA,NA,NE
Etisus dentatus,NA,NA,NE
Leptodius sanguineus,NA,NA,NE
Liocarpilodes integerrimus,NA,NA,NE
Liomera tristis,NA,NA,NE
Grapsus albolineatus,NA,NA,NE
Pachygrapsus plicatus,NA,NA,NE
Percnon abbreviatum,NA,NA,NE
Metapenaeus joyneri,NA,NA,NE
Metapenaeopsis hilarula,NA,NA,NE
Metapenaeopsis philippii,NA,NA,NE
Parapenaeus australiensis,NA,NA,NE
Acetes erythraeus,NA,NA,NE
Aristeus semidentatus,NA,NA,NE
Systellaspis braueri,NA,NA,NE
Notostomus gibbosus,NA,NA,NE
Alpheus gracilipes,NA,NA,NE
Canthocalanus pauper,NA,NA,NE
Heterocarpus gibbosus,NA,NA,NE
Odontodactylus brevirostris,NA,NA,NE
Euphausia brevis,NA,NA,NE
Euphausia diomedeae,NA,NA,NE
Nematoscelis microps,NA,NA,NE
Eucalanus subcrassus,NA,NA,NE
Centropages furcatus,NA,NA,NE
Copilia mirabilis,NA,NA,NE
Macrosetella gracilis,NA,NA,NE
Octolasmis lowei,NA,NA,NE
Amphibalanus amphitrite,NA,NA,NE
Tetraclita squamosa,NA,NA,NE
Dasybranchus caducus,NA,NA,NE
Lepidonotus carinulatus,NA,NA,NE
Bhawania goodei,NA,NA,NE
Lumbrineris heteropoda,NA,NA,NE
Syllis variegata,NA,NA,NE
Eunice australis,NA,NA,NE
Oenone fulgida,NA,NA,NE
Hydroides elegans,NA,NA,NE
Spirobranchus giganteus,NA,NA,NE
Boloceroides mcmurrichi,NA,NA,NE
Triactis producta,NA,NA,NE
Pennaria disticha,NA,NA,NE
Stylaster gemmascens,NA,NA,NE
Cunina octonaria,NA,NA,NE
Lensia cossack,NA,NA,NE
Eudoxoides mitra,NA,NA,NE
Sulculeolaria turgida,NA,NA,NE
Amphicaryon ernesti,NA,NA,NE
Physophora hydrostatica,NA,NA,NE
Abylopsis eschscholtzi,NA,NA,NE
Periphylla periphylla,NA,NA,NE
Tetraplatia volitans,NA,NA,NE
Myriopathes ulex,NA,NA,NE
Caryophyllia atlantica,NA,NA,NE
Crispatotrochus rubescens,NA,NA,NE
Crispatotrochus rugosus,NA,NA,NE
Ervilia bisculpta,NA,NA,NE
Coralliophaga coralliophaga,NA,NA,NE
Ophiarachna incrassata,NA,NA,NE
Dactylospongia elegans,NA,NA,NE
Amathia distans,NA,NA,NE
Niphates erecta,NA,NA,NE
Leptoclinides dubius,NA,NA,NE
Lissoclinum fragile,NA,NA,NE
Sycozoa cerebriformis,NA,NA,NE
Eudistoma amplum,NA,NA,NE
Aplidium crateriferum,NA,NA,NE
Aplidium solidum,NA,NA,NE
Oligotrema lyra,NA,NA,NE
Microcosmus helleri,NA,NA,NE
Pyura stolonifera,NA,NA,NE
Pyura vittata,NA,NA,NE
Cnemidocarpa irene,NA,NA,NE
Polycarpa cryptocarpa,NA,NA,NE
Thetys vagina,NA,NA,NE
Achelia sawayai,NA,NA,NE
Callipallene novaezealandiae,NA,NA,NE
Colossendeis colossea,NA,NA,NE
Hapalochlaena lunulata,NA,NA,NE
Uroteuthis edulis,NA,NA,NE
Amphioctopus aegina,NA,NA,NE
Cloeosiphon aspergillus,NA,NA,NE
Thysanocardia nigra,NA,NA,NE
Phascolion tuberculosum,NA,NA,NE
Phascolosoma agassizii,NA,NA,NE
Phascolosoma scolops,NA,NA,NE
Lingula anatina,NA,NA,NE
Frenulina sanguinolenta,NA,NA,NE
Ostrea denselamellosa,NA,NA,NE
Spondylus occidens,NA,NA,NE
Paramunida scabra,NA,NA,NE
Fulvia australis,NA,NA,NE
Hyastenus diacanthus,NA,NA,NE
Protankyra bidentata,NA,NA,NE
Luidia quinaria,NA,NA,NE
Ophiothela danae,NA,NA,NE
Ophiopsila abscissa,NA,NA,NE
Ophiura pteracantha,NA,NA,NE
Alpheus malleodigitus,NA,NA,NE
Alpheus pachychirus,NA,NA,NE
Alpheus sulcatus,NA,NA,NE
Dendrodoris fumata,NA,NA,NE
Athanas djiboutensis,NA,NA,NE
Synalpheus stimpsonii,NA,NA,NE
Plesionika bifurca,NA,NA,NE
Odontodactylus cultrifer,NA,NA,NE
Oratosquillina perpensa,NA,NA,NE
Stichopus variegatus,NA,NA,NE
Fungia danai,NA,NA,NE
Chicoreus brevifrons,NA,NA,NE
Thalamita spinimana,NA,NA,NE
Charybdis annulata,NA,NA,NE
Trisidos semitorta,NA,NA,NE
Modiolus philippinarum,NA,NA,NE
Stavelia subdistorta,NA,NA,NE
Isognomon ephippium,NA,NA,NE
Malleus malleus,NA,NA,NE
Volachlamys singaporina,NA,NA,NE
Spondylus imperialis,NA,NA,NE
Placuna placenta,NA,NA,NE
Alectryonella plicatula,NA,NA,NE
Codakia interrupta,NA,NA,NE
Pinctada radiata,NA,NA,NE
Planostrea pestigris,NA,NA,NE
Corculum cardissum,NA,NA,NE
Mactra maculata,NA,NA,NE
Solen grandis,NA,NA,NE
Tellina staurella,NA,NA,NE
Tellina virgata,NA,NA,NE
Tellina linguafelis,NA,NA,NE
Gari elongata,NA,NA,NE
Gari truncata,NA,NA,NE
Comanthina schlegeli,NA,NA,NE
Gafrarium divaricatum,NA,NA,NE
Himerometra robustipinna,NA,NA,NE
Echinaster callosus,NA,NA,NE
Periglypta puerpera,NA,NA,NE
Mithrodia clavigera,NA,NA,NE
Ruditapes variegatus,NA,NA,NE
Paphia semirugata,NA,NA,NE
Periglypta reticulata,NA,NA,NE
Pitar pellucidus,NA,NA,NE
Toxopneustes pileolus,NA,NA,NE
Cellana testudinaria,NA,NA,NE
Tectus conus,NA,NA,NE
Trochus hanleyanus,NA,NA,NE
Astralium calcar,NA,NA,NE
Nerita planospira,NA,NA,NE
Strombus urceus,NA,NA,NE
Cypraea mauritiana,NA,NA,NE
Cypraea leviathan,NA,NA,NE
Cypraea onyx,NA,NA,NE
Tanea euzona,NA,NA,NE
Polinices didyma,NA,NA,NE
Polinices melanostoma,NA,NA,NE
Tonna sulcosa,NA,NA,NE
Tonna canaliculata,NA,NA,NE
Ficus gracilis,NA,NA,NE
Cypraecassis rufa,NA,NA,NE
Phalium glaucum,NA,NA,NE
Cymatium intermedium,NA,NA,NE
Murex ternispina,NA,NA,NE
Nassarius dorsatus,NA,NA,NE
Oliva caerulea,NA,NA,NE
Vexillum rugosum,NA,NA,NE
Turricula javana,NA,NA,NE
Bulla vernicosa,NA,NA,NE
Sagaminopteron ornatum,NA,NA,NE
Plakobranchus ocellatus,NA,NA,NE
Roboastra gracilis,NA,NA,NE
Jorunna funebris,NA,NA,NE
Phyllidia elegans,NA,NA,NE
Flabellina rubrolineata,NA,NA,NE
Leucetta microraphis,NA,NA,NE
Dentalium bisexangulatum,NA,NA,NE
Fustiaria nipponica,NA,NA,NE
Compressidentalium sedecimcostatum,NA,NA,NE
Bathysquilla microps,NA,NA,NE
Cerithium egenum,NA,NA,NE
Rhinoclavis articulata,NA,NA,NE
Harpago chiragra,NA,NA,NE
Cribrarula cribraria,NA,NA,NE
Purpuradusta gracilis,NA,NA,NE
Calpurnus verrucosus,NA,NA,NE
Casmaria erinaceus,NA,NA,NE
Morula anaxeres,NA,NA,NE
Cantharus fumosus,NA,NA,NE
Nassarius albescens,NA,NA,NE
Nassarius concinnus,NA,NA,NE
Mitra fraga,NA,NA,NE
Imbricaria punctata,NA,NA,NE
Cryptodromia hilgendorfi,NA,NA,NE
Uca tetragonon,NA,NA,NE
Schizaster lacunosus,NA,NA,NE
Calcinus lineapropodus,NA,NA,NE
Clibanarius striolatus,NA,NA,NE
Clibanarius virescens,NA,NA,NE
Pseudosquillisma oculata,NA,NA,NE
Carinosquilla thailandensis,NA,NA,NE
Cloridina verrucosa,NA,NA,NE
Harpiosquilla melanoura,NA,NA,NE
Lophosquilla costata,NA,NA,NE
Squilloides leptosquilla,NA,NA,NE
Aniculus aniculus,NA,NA,NE
Pomatostegus stellatus,NA,NA,NE
Cellana toreuma,NA,NA,NE
Lioconcha fastigiata,NA,NA,NE
Vulsella vulsella,NA,NA,NE
Isognomon legumen,NA,NA,NE
Nemocardium bechei,NA,NA,NE
Tellina inflata,NA,NA,NE
Glycera brevicirris,NA,NA,NE
Parvamussium cristatellum,NA,NA,NE
Pectinaria antipoda,NA,NA,NE
Spondylus candidus,NA,NA,NE
Tylocarcinus styx,NA,NA,NE
Timoclea marica,NA,NA,NE
Codakia paytenorum,NA,NA,NE
Monilea callifera,NA,NA,NE
Eunaticina papilla,NA,NA,NE
Chama limbula,NA,NA,NE
Mirapecten mirificus,NA,NA,NE
Trapezium bicarinatum,NA,NA,NE
Gyrineum gyrinum,NA,NA,NE
Nassarius conoidalis,NA,NA,NE
Engina mendicaria,NA,NA,NE
Coenobita perlatus,NA,NA,NE
Aniculus retipes,NA,NA,NE
Diogenes avarus,NA,NA,NE
Chelycypraea testudinaria,NA,NA,NE
Erronea cylindrica,NA,NA,NE
Euxanthus exsculptus,NA,NA,NE
Peristernia ustulata,NA,NA,NE
Mitra contracta,NA,NA,NE
Laevichlamys squamosa,NA,NA,NE
Turbinaria ornata,NA,NA,NE
Amphiroa fragilissima,NA,NA,NE
Avrainvillea erecta,NA,NA,NE
Halimeda cylindracea,NA,NA,NE
Actinotrichia fragilis,NA,NA,NE
Halymenia durvillei,NA,NA,NE
Gracilaria arcuata,NA,NA,NE
Boodlea composita,NA,NA,NE
Turbinaria conoides,NA,NA,NE
Centroceras clavulatum,NA,NA,NE
Codium arabicum,NA,NA,NE
Codium edule,NA,NA,NE
Valonia fastigiata,NA,NA,NE
Hydrolithon reinboldii,NA,NA,NE
Cliona orientalis,NA,NA,NE
Clibanarius eurysternus,NA,NA,NE
Theonella swinhoei,NA,NA,NE
Agelas mauritiana,NA,NA,NE
Octolasmis nierstraszi,NA,NA,NE
Echinodictyum asperum,NA,NA,NE
Echinodictyum cancellatum,NA,NA,NE
Junceella juncea,NA,NA,NE
Gomophia egyptiaca,NA,NA,NE
Ophidiaster granifer,NA,NA,NE
Pylocheles mortensenii,NA,NA,NE
Munida rufiantennulata,NA,NA,NE
Sadayoshia edwardsii,NA,NA,NE
Petrolisthes scabriculus,NA,NA,NE
Petrolisthes tomentosus,NA,NA,NE
Liosina paradoxa,NA,NA,NE
Neoferdina cumingi,NA,NA,NE
Comatella stelligera,NA,NA,NE
Ophiothrix purpurea,NA,NA,NE
Ophiocomella sexradia,NA,NA,NE
Ophiomastix mixta,NA,NA,NE
Parasalenia gratiosa,NA,NA,NE
Echinostrephus aciculatus,NA,NA,NE
Laganum laganum,NA,NA,NE
Dichotella gemmacea,NA,NA,NE
Valonia ventricosa,NA,NA,NE
Delectopecten alcocki,NA,NA,NE
Pascahinnites coruscans,NA,NA,NE
Trapezia septata,NA,NA,NE
Gonioinfradens paucidentatus,NA,NA,NE
Lupocyclus philippinensis,NA,NA,NE
Oplophorus typus,NA,NA,NE
Thalamita quadrilobata,NA,NA,NE
Trapezia bidentata,NA,NA,NE
Carteriospongia foliascens,NA,NA,NE
Ophiothrix exigua,NA,NA,NE
Ophiarachnella infernalis,NA,NA,NE
Stephanometra indica,NA,NA,NE
Quadrella maculosa,NA,NA,NE
Ophiomyxa australis,NA,NA,NE
Macrophiothrix propinqua,NA,NA,NE
Ophionereis porrecta,NA,NA,NE
Berthella stellata,NA,NA,NE
Diacria quadridentata,NA,NA,NE
Micromelo undatus,NA,NA,NE
Polycera hedgpethi,NA,NA,NE
Aplysia juliana,NA,NA,NE
Entophilus omnitectus,NA,NA,NE
Hymenopenaeus halli,NA,NA,NE
Solenocera alticarinata,NA,NA,NE
Solenocera comata,NA,NA,NE
Solenocera melantho,NA,NA,NE
Funchalia taaningi,NA,NA,NE
Marsupenaeus japonicus,NA,NA,NE
Melicertus canaliculatus,NA,NA,NE
Pelagopenaeus balboae,NA,NA,NE
Sergia regalis,NA,NA,NE
Harpilius lutescens,NA,NA,NE
Periclimenes psamathe,NA,NA,NE
Periclimenes lanipes,NA,NA,NE
Cuapetes tenuipes,NA,NA,NE
Nematocarcinus gracilis,NA,NA,NE
Conchodytes tridacnae,NA,NA,NE
Harpiliopsis spinigera,NA,NA,NE
Palaemonella tenuipes,NA,NA,NE
Cuapetes elegans,NA,NA,NE
Ancylomenes holthuisi,NA,NA,NE
Urocaridella urocaridella,NA,NA,NE
Hymenopenaeus equalis,NA,NA,NE
Trapezia rufopunctata,NA,NA,NE
Alpheopsis aequalis,NA,NA,NE
Alpheus dolerus,NA,NA,NE
Alpheus hailstonei,NA,NA,NE
Alpheus rapax,NA,NA,NE
Synalpheus paraneomeris,NA,NA,NE
Tumidodromia dormia,NA,NA,NE
Notopoides latus,NA,NA,NE
Cyclax suborbicularis,NA,NA,NE
Boreomysis arctica,NA,NA,NE
Carupa tenuipes,NA,NA,NE
Etisus splendidus,NA,NA,NE
Lachnopodus subacutus,NA,NA,NE
Leptodius gracilis,NA,NA,NE
Liomera bella,NA,NA,NE
Lydia annulipes,NA,NA,NE
Cyclodius nitidus,NA,NA,NE
Pilodius flavus,NA,NA,NE
Pachygrapsus planifrons,NA,NA,NE
Siriella thompsonii,NA,NA,NE
Siriella vulgaris,NA,NA,NE
Macrobrachium rosenbergii,NA,NA,NE
Parapenaeopsis cornuta,NA,NA,NE
Metapenaeopsis andamanensis,NA,NA,NE
Metapenaeopsis stridulans,NA,NA,NE
Parapenaeopsis stylifera,NA,NA,NE
Acetes japonicus,NA,NA,NE
Sergia scintillans,NA,NA,NE
Sergia tenuiremis,NA,NA,NE
Sicyonia lancifera,NA,NA,NE
Benthesicymus iridescens,NA,NA,NE
Notostomus elegans,NA,NA,NE
Alpheus spongiarum,NA,NA,NE
Thysanopoda tricuspidata,NA,NA,NE
Euphausia hemigibba,NA,NA,NE
Stylocheiron abbreviatum,NA,NA,NE
Stylocheiron affine,NA,NA,NE
Calanopia elliptica,NA,NA,NE
Labidocera acuta,NA,NA,NE
Microsetella rosea,NA,NA,NE
Lumbrineris japonica,NA,NA,NE
Hermenia acantholepis,NA,NA,NE
Synelmis albini,NA,NA,NE
Palolo siciliensis,NA,NA,NE
Malacoceros indicus,NA,NA,NE
Pseudopolydora antennata,NA,NA,NE
Stichodactyla tapetum,NA,NA,NE
Sertularella diaphana,NA,NA,NE
Idiellana pristis,NA,NA,NE
Macrorhynchia philippina,NA,NA,NE
Lensia campanella,NA,NA,NE
Lensia hotspur,NA,NA,NE
Muggiaea atlantica,NA,NA,NE
Sulculeolaria chuni,NA,NA,NE
Sulculeolaria biloba,NA,NA,NE
Nanomia bijuga,NA,NA,NE
Lobophyllia costata,NA,NA,NE
Caryophyllia crosnieri,NA,NA,NE
Dactylotrochus cervicornis,NA,NA,NE
Acar domingensis,NA,NA,NE
Pinna carnea,NA,NA,NE
Pitar albidus,NA,NA,NE
Petricola lapicida,NA,NA,NE
Asteronyx loveni,NA,NA,NE
Leuconia pumila,NA,NA,NE
Lissodendoryx isodictyalis,NA,NA,NE
Dendrilla rosea,NA,NA,NE
Callyspongia vaginalis,NA,NA,NE
Synnotum aegyptiacum,NA,NA,NE
Didemnum albopunctatum,NA,NA,NE
Beania discodermiae,NA,NA,NE
Nephtheis fascicularis,NA,NA,NE
Didemnum grande,NA,NA,NE
Phallusia julinea,NA,NA,NE
Didemnum perlucidum,NA,NA,NE
Didemnum psammatode,NA,NA,NE
Leptoclinides durus,NA,NA,NE
Trididemnum discrepans,NA,NA,NE
Eudistoma laysani,NA,NA,NE
Polycitor giganteus,NA,NA,NE
Aplidium caelestis,NA,NA,NE
Aplidium multiplicatum,NA,NA,NE
Synoicum castellatum,NA,NA,NE
Oligotrema unigonas,NA,NA,NE
Culeolus herdmani,NA,NA,NE
Cnemidocarpa pedata,NA,NA,NE
Eusynstyela latericius,NA,NA,NE
Polycarpa rima,NA,NA,NE
Symplegma rubra,NA,NA,NE
Doliolum denticulatum,NA,NA,NE
Anoplodactylus batangensis,NA,NA,NE
Anoplodactylus pycnosoma,NA,NA,NE
Pantopipetta longituberculata,NA,NA,NE
Cistopus indicus,NA,NA,NE
Octopus bimaculatus,NA,NA,NE
Phascolion hedraeum,NA,NA,NE
Campages furcifera,NA,NA,NE
Eukrohnia fowleri,NA,NA,NE
Branchiostoma belcheri,NA,NA,NE
Pontocaris sibogae,NA,NA,NE
Propeamussium caducum,NA,NA,NE
Gastrochaena cuneiformis,NA,NA,NE
Ophiopeza spinosa,NA,NA,NE
Uroptychus nigricapillis,NA,NA,NE
Alpheus bidens,NA,NA,NE
Alpheus edamensis,NA,NA,NE
Athanas areteformis,NA,NA,NE
Athanas dimorphus,NA,NA,NE
Synalpheus hastilicrassus,NA,NA,NE
Synalpheus nilandensis,NA,NA,NE
Thalassocaris crinita,NA,NA,NE
Chlorotocella gracilis,NA,NA,NE
Plesionika grandis,NA,NA,NE
Calappa lophos,NA,NA,NE
Ashtoret lunaris,NA,NA,NE
Ozius guttatus,NA,NA,NE
Charybdis feriatus,NA,NA,NE
Anadara inaequivalvis,NA,NA,NE
Barbatia fusca,NA,NA,NE
Corallium secundum,NA,NA,NE
Cyclina sinensis,NA,NA,NE
Perna viridis,NA,NA,NE
Plesiopenaeus edwardsianus,NA,NA,NE
Ruditapes philippinarum,NA,NA,NE
Cardisoma carnifex,NA,NA,NE
Decatopecten amiculum,NA,NA,NE
Chlamys squamata,NA,NA,NE
Spondylus versicolor,NA,NA,NE
Austriella corrugata,NA,NA,NE
Chama croceata,NA,NA,NE
Beguina semiorbiculata,NA,NA,NE
Herdmania pallida,NA,NA,NE
Iotrochota birotulata,NA,NA,NE
Mactra achatina,NA,NA,NE
Mactra cuneata,NA,NA,NE
Natica tigrina,NA,NA,NE
Solen roseomaculatus,NA,NA,NE
Tellina foliacea,NA,NA,NE
Donax cuneatus,NA,NA,NE
Gari togata,NA,NA,NE
Azorinus coarctatus,NA,NA,NE
Solecurtus divaricatus,NA,NA,NE
Gafrarium tumidum,NA,NA,NE
Anneissia bennetti,NA,NA,NE
Phanogenia gracilis,NA,NA,NE
Paphia textile,NA,NA,NE
Astroboa nuda,NA,NA,NE
Macrophiothrix nereidina,NA,NA,NE
Metalia spatagus,NA,NA,NE
Pitar citrinus,NA,NA,NE
Placamen tiara,NA,NA,NE
Asthenosoma varium,NA,NA,NE
Pholas orientalis,NA,NA,NE
Barnea manilensis,NA,NA,NE
Sarcophyton glaucum,NA,NA,NE
Umbonium costatum,NA,NA,NE
Turbo marmoratus,NA,NA,NE
Turbo coronatus,NA,NA,NE
Nerita squamulata,NA,NA,NE
Strombus labiatus,NA,NA,NE
Mauritia maculifera,NA,NA,NE
Cypraea schilderorum,NA,NA,NE
Cypraea ventriculus,NA,NA,NE
Neverita albumen,NA,NA,NE
Tonna tessellata,NA,NA,NE
Ficus subintermedia,NA,NA,NE
Tutufa rubeta,NA,NA,NE
Cymbiola vespertilio,NA,NA,NE
Melo melo,NA,NA,NE
Oliva reticulata,NA,NA,NE
Mitra eremitarum,NA,NA,NE
Chromodoris lochi,NA,NA,NE
Chromodoris annae,NA,NA,NE
Hoplodoris nodulosa,NA,NA,NE
Halgerda willeyi,NA,NA,NE
Phyllidia coelestis,NA,NA,NE
Leucetta primigenia,NA,NA,NE
Graptacme acutissima,NA,NA,NE
Dentalium aprinum,NA,NA,NE
Dentalium elephantinum,NA,NA,NE
Akera soluta,NA,NA,NE
Diodora mus,NA,NA,NE
Cerithium atromarginatum,NA,NA,NE
Cerithium punctatum,NA,NA,NE
Cerithium salebrosum,NA,NA,NE
Cerithium zonatum,NA,NA,NE
Cypraea errones,NA,NA,NE
Staphylaea staphylaea,NA,NA,NE
Bursa cruentata,NA,NA,NE
Gonodactylellus affinis,NA,NA,NE
Gonodactylellus micronesicus,NA,NA,NE
Gonodactylus platysoma,NA,NA,NE
Drupella rugosa,NA,NA,NE
Odontodactylus japonicus,NA,NA,NE
Pyrene flava,NA,NA,NE
Mitra coronata,NA,NA,NE
Neocancilla papilio,NA,NA,NE
Vexillum cadaverosum,NA,NA,NE
Hirsutodynomene spinosa,NA,NA,NE
Ocypode cordimanus,NA,NA,NE
Echinosquilla guerinii,NA,NA,NE
Haptosquilla glyptocercus,NA,NA,NE
Pseudosquillana richeri,NA,NA,NE
Raoulserenea hieroglyphica,NA,NA,NE
Clorida albolitura,NA,NA,NE
Clorida obtusa,NA,NA,NE
Fallosquilla fallax,NA,NA,NE
Levisquilla inermis,NA,NA,NE
Oratosquillina interrupta,NA,NA,NE
Turris crispa,NA,NA,NE
Nereiphylla castanea,NA,NA,NE
Spirobranchus tetraceros,NA,NA,NE
Cellana grata,NA,NA,NE
Lyrocardium lyratum,NA,NA,NE
Ensiculus cultellus,NA,NA,NE
Antigona chemnitzii,NA,NA,NE
Striatobalanus tenuis,NA,NA,NE
Solidobalanus auricoma,NA,NA,NE
Laternula anatina,NA,NA,NE
Perinereis nuntia,NA,NA,NE
Perinereis vallata,NA,NA,NE
Diopatra neapolitana,NA,NA,NE
Striatobalanus amaryllis,NA,NA,NE
Charybdis orientalis,NA,NA,NE
Ozius rugulosus,NA,NA,NE
Tetralia glaberrima,NA,NA,NE
Chrysostoma paradoxum,NA,NA,NE
Trochus stellatus,NA,NA,NE
Stomatia phymotis,NA,NA,NE
Cerithium citrinum,NA,NA,NE
Natica fasciata,NA,NA,NE
Ctenoides ales,NA,NA,NE
Chlamys irregularis,NA,NA,NE
Pedum spondyloideum,NA,NA,NE
Harpa amouretta,NA,NA,NE
Bursa rosa,NA,NA,NE
Pascula ochrostoma,NA,NA,NE
Echinolittorina millegrana,NA,NA,NE
Dardanus setifer,NA,NA,NE
Diogenes custos,NA,NA,NE
Erosaria eburnea,NA,NA,NE
Cymo andreossyi,NA,NA,NE
Eriphia scabricula,NA,NA,NE
Portunus gladiator,NA,NA,NE
Gomeza bicornis,NA,NA,NE
Liotina peronii,NA,NA,NE
Neritopsis radula,NA,NA,NE
Chama brassica,NA,NA,NE
Sargassum polycystum,NA,NA,NE
Chlorodesmis fastigiata,NA,NA,NE
Caulerpa verticillata,NA,NA,NE
Avrainvillea nigricans,NA,NA,NE
Halimeda taenicola,NA,NA,NE
Caulerpa webbiana,NA,NA,NE
Halimeda macrophysa,NA,NA,NE
Tolypiocladia glomerulata,NA,NA,NE
Jania capillacea,NA,NA,NE
Neomeris annulata,NA,NA,NE
Ctenocella pectinata,NA,NA,NE
Ophionereis dubia,NA,NA,NE
Ophiolepis cincta,NA,NA,NE
Disyringa dissimilis,NA,NA,NE
Echinostrephus molaris,NA,NA,NE
Cuapetes grandis,NA,NA,NE
Rapana bezoar,NA,NA,NE
Calcinus pulcher,NA,NA,NE
Clibanarius humilis,NA,NA,NE
Clibanarius longitarsus,NA,NA,NE
Heteralepas japonica,NA,NA,NE
Arcania cornuta,NA,NA,NE
Clypeomorus purpurastoma,NA,NA,NE
Pagurus hirtimanus,NA,NA,NE
Nepanthia belcheri,NA,NA,NE
Callianidea typa,NA,NA,NE
Galathea orientalis,NA,NA,NE
Galathea subsquamata,NA,NA,NE
Aliaporcellana suluensis,NA,NA,NE
Petrolisthes boscii,NA,NA,NE
Mitra rosacea,NA,NA,NE
